book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.4,0,0.003344482,0,0,0,0,0,1,0.30400000000000005,0.19643612050000003,Low
0.2,0,0.003344482,0,1,0,0,0,0,0.976,0.2472361205,Low
0.2,1,0.036789298,1,1,0,0,0,1,0.593,0.44814732449999994,Medium
0.2,1,0.013377926,1,0,0,0,0,1,0.5660000000000001,0.3882444815,Medium
0.0,1,0.013377926,1,0,0,0,0,1,0.736,0.3637444815,Medium
0.2,0,0.030100334,0,0,0,0,0,0,0.796,0.17692508350000002,Low
0.2,1,0.003344482,1,0,0,0,0,0,0.767,0.3658861205,Medium
0.2,1,0.006688963,1,0,0,0,0,1,0.767,0.41672224075000003,Medium
0.0,0,0.0,0,0,0,0,1,0,0.7090000000000001,0.12301666666666668,Low
0.6,0,0.043478261,0,0,0,0,0,1,0.704,0.31646956525,Medium
0.0,0,0.0,0,0,0,0,0,1,0.918,0.18769999999999998,Low
0.4,1,0.023411371,1,0,0,0,0,1,0.43500000000000005,0.42110284275000004,Medium
0.2,0,0.0,0,1,0,0,0,0,0.5369999999999999,0.18055,Low
0.0,1,0.006688963,1,0,0,0,0,1,0.765,0.36642224075,Medium
0.2,0,0.006688963,0,1,0,0,0,0,0.14100000000000001,0.12282224075,Low
0.0,1,0.100334448,1,1,0,0,0,1,0.010000000000000009,0.326583612,Medium
0.0,1,0.043478261,1,1,0,0,0,1,0.05700000000000005,0.31941956525,Medium
0.2,0,0.050167224,0,1,0,0,0,1,0.877,0.294091806,Medium
0.2,1,0.474916388,1,0,0,0,0,1,0.0020000000000000018,0.41902909699999996,Medium
0.4,0,0.02006689,0,1,0,0,0,1,0.986,0.3529167225,Medium
0.4,0,0.033444816,0,0,0,0,0,1,0.20999999999999996,0.189861204,Low
0.2,0,0.013377926,1,0,0,0,0,0,0.791,0.27199448150000005,Medium
0.2,0,0.030100334,0,0,0,0,0,1,0.03500000000000003,0.11277508350000001,Low
